roll_no,name,branch,year,course_code,email
2026IT1001,Student_Name_1,IT,1,IT302,student1@college.edu
2026EE1002,Student_Name_2,EE,3,EE408,student2@college.edu
2026IT1003,Student_Name_3,IT,1,IT302,student3@college.edu
2026IT1004,Student_Name_4,IT,1,IT302,student4@college.edu
2026CS1005,Student_Name_5,CS,4,CS401,student5@college.edu
2026ME1006,Student_Name_6,ME,4,ME205,student6@college.edu
2026CE1007,Student_Name_7,CE,1,CE101,student7@college.edu
2026CS1008,Student_Name_8,CS,2,CS401,student8@college.edu
2026ME1009,Student_Name_9,ME,3,ME205,student9@college.edu
2026EE1010,Student_Name_10,EE,4,EE408,student10@college.edu
2026ME1011,Student_Name_11,ME,2,ME205,student11@college.edu
2026CE1012,Student_Name_12,CE,2,CE101,student12@college.edu
2026IT1013,Student_Name_13,IT,3,IT302,student13@college.edu
2026IT1014,Student_Name_14,IT,1,IT302,student14@college.edu
2026CS1015,Student_Name_15,CS,4,CS401,student15@college.edu
2026IT1016,Student_Name_16,IT,4,IT302,student16@college.edu
2026EE1017,Student_Name_17,EE,3,EE408,student17@college.edu
2026CE1018,Student_Name_18,CE,4,CE101,student18@college.edu
2026IT1019,Student_Name_19,IT,4,IT302,student19@college.edu
2026IT1020,Student_Name_20,IT,2,IT302,student20@college.edu
2026CS1021,Student_Name_21,CS,2,CS401,student21@college.edu
2026IT1022,Student_Name_22,IT,2,IT302,student22@college.edu
2026ME1023,Student_Name_23,ME,2,ME205,student23@college.edu
2026CS1024,Student_Name_24,CS,2,CS401,student24@college.edu
2026CE1025,Student_Name_25,CE,3,CE101,student25@college.edu
2026CS1026,Student_Name_26,CS,1,CS401,student26@college.edu
2026CS1027,Student_Name_27,CS,1,CS401,student27@college.edu
2026EE1028,Student_Name_28,EE,4,EE408,student28@college.edu
2026ME1029,Student_Name_29,ME,3,ME205,student29@college.edu
2026CE1030,Student_Name_30,CE,3,CE101,student30@college.edu
2026EE1031,Student_Name_31,EE,2,EE408,student31@college.edu
2026EE1032,Student_Name_32,EE,1,EE408,student32@college.edu
2026CS1033,Student_Name_33,CS,1,CS401,student33@college.edu
2026CE1034,Student_Name_34,CE,4,CE101,student34@college.edu
2026CE1035,Student_Name_35,CE,1,CE101,student35@college.edu
2026EE1036,Student_Name_36,EE,3,EE408,student36@college.edu
2026EE1037,Student_Name_37,EE,2,EE408,student37@college.edu
2026CE1038,Student_Name_38,CE,2,CE101,student38@college.edu
2026IT1039,Student_Name_39,IT,2,IT302,student39@college.edu
2026ME1040,Student_Name_40,ME,4,ME205,student40@college.edu
2026EE1041,Student_Name_41,EE,1,EE408,student41@college.edu
2026CE1042,Student_Name_42,CE,4,CE101,student42@college.edu
2026CE1043,Student_Name_43,CE,4,CE101,student43@college.edu
2026ME1044,Student_Name_44,ME,3,ME205,student44@college.edu
2026CE1045,Student_Name_45,CE,2,CE101,student45@college.edu
2026EE1046,Student_Name_46,EE,3,EE408,student46@college.edu
2026CS1047,Student_Name_47,CS,4,CS401,student47@college.edu
2026IT1048,Student_Name_48,IT,2,IT302,student48@college.edu
2026CS1049,Student_Name_49,CS,3,CS401,student49@college.edu
2026CS1050,Student_Name_50,CS,2,CS401,student50@college.edu
2026IT1051,Student_Name_51,IT,4,IT302,student51@college.edu
2026ME1052,Student_Name_52,ME,3,ME205,student52@college.edu
2026CE1053,Student_Name_53,CE,1,CE101,student53@college.edu
2026CE1054,Student_Name_54,CE,3,CE101,student54@college.edu
2026CS1055,Student_Name_55,CS,3,CS401,student55@college.edu
2026EE1056,Student_Name_56,EE,4,EE408,student56@college.edu
2026IT1057,Student_Name_57,IT,4,IT302,student57@college.edu
2026CS1058,Student_Name_58,CS,3,CS401,student58@college.edu
2026CS1059,Student_Name_59,CS,2,CS401,student59@college.edu
2026CE1060,Student_Name_60,CE,1,CE101,student60@college.edu
2026ME1061,Student_Name_61,ME,4,ME205,student61@college.edu
